number,time,thscode,open,high,low,close,volume,amount,turnoverRatio
342,2024-08-20,000001.SH,2895.5506,2896.5194,2855.3293,2866.661,263658002.0,237307803964.0,0.5754
341,2024-08-21,000001.SH,2858.9388,2863.891,2848.1509,2856.5839,229200027.0,209909187787.0,0.5002
340,2024-08-22,000001.SH,2856.2001,2861.6071,2845.5024,2848.7718,245399415.0,230124077190.0,0.5356
339,2024-08-23,000001.SH,2844.7703,2860.7327,2839.3371,2854.3675,226692565.0,214581900323.0,0.4947
338,2024-08-26,000001.SH,2855.4741,2860.6545,2844.3828,2855.5203,227351523.0,216806649037.0,0.4969
337,2024-08-27,000001.SH,2850.8773,2853.7804,2843.1576,2848.7312,230693006.0,215686326236.0,0.5041
336,2024-08-28,000001.SH,2844.3269,2852.5621,2830.9615,2837.4293,228730623.0,213862368728.0,0.4998
335,2024-08-29,000001.SH,2829.4506,2831.4309,2815.3829,2823.106,277510534.0,257644228808.0,0.6064
334,2024-08-30,000001.SH,2819.6498,2867.9649,2817.0141,2842.2142,397516975.0,384092892138.0,0.8686
333,2024-09-02,000001.SH,2832.3499,2839.2784,2810.3739,2811.035,340714193.0,314813036716.0,0.7444
332,2024-09-03,000001.SH,2809.1733,2814.903,2794.9111,2802.9787,275736139.0,252782482525.0,0.6025
331,2024-09-04,000001.SH,2786.5046,2800.6065,2781.9352,2784.2783,257453500.0,234711697258.0,0.5625
330,2024-09-05,000001.SH,2785.2635,2796.0186,2777.471,2788.3141,242040948.0,227514507238.0,0.5288
329,2024-09-06,000001.SH,2791.7645,2804.0932,2765.6394,2765.8066,253645375.0,228570135027.0,0.5542
328,2024-09-09,000001.SH,2754.7237,2756.556,2726.9667,2736.4876,261468847.0,236605848474.0,0.5712
327,2024-09-10,000001.SH,2737.881,2750.1181,2718.6273,2744.1921,262159015.0,226408492962.0,0.5726
326,2024-09-11,000001.SH,2732.7314,2732.7314,2710.6208,2721.7952,242264900.0,219755948411.0,0.5291
325,2024-09-12,000001.SH,2722.1382,2734.6832,2716.5552,2717.1231,240084315.0,218571098697.0,0.5243
324,2024-09-13,000001.SH,2718.9864,2728.7797,2703.3689,2704.0896,251270038.0,227818801149.0,0.5487
323,2024-09-18,000001.SH,2705.3451,2724.1141,2689.6952,2717.2813,247817132.0,213090588645.0,0.5411
322,2024-09-19,000001.SH,2723.2053,2747.7402,2697.7756,2736.0222,315208389.0,280536046232.0,0.6882
321,2024-09-20,000001.SH,2734.2277,2741.1552,2717.9451,2736.8139,285644627.0,255433329893.0,0.6237
320,2024-09-23,000001.SH,2735.3895,2760.4799,2731.3571,2748.9177,257642154.0,235214505877.0,0.5624
319,2024-09-24,000001.SH,2770.7543,2863.1519,2761.3717,2863.1255,477619545.0,442795296869.0,1.0426
318,2024-09-25,000001.SH,2901.4185,2952.4511,2889.048,2896.3057,568259816.0,516698093562.0,1.2401
317,2024-09-26,000001.SH,2893.7451,3000.9526,2889.0143,3000.9526,576319261.0,524669070871.0,1.2576
316,2024-09-27,000001.SH,3049.1026,3087.5286,3017.4453,3087.5286,492287163.0,480612559540.0,1.0743
315,2024-09-30,000001.SH,3194.7224,3358.5883,3153.697,3336.4974,1102337917.0,1167772549990.0,2.3958
314,2024-10-08,000001.SH,3674.4048,3674.4048,3372.1868,3489.7751,1313460195.0,1510513250817.0,2.854
313,2024-10-09,000001.SH,3427.2199,3437.1571,3249.1591,3258.8578,992757256.0,1264311454430.0,2.157
312,2024-10-10,000001.SH,3277.6916,3379.8053,3228.1248,3301.9259,834500257.0,947788514989.0,1.8132
311,2024-10-11,000001.SH,3287.8727,3297.7517,3187.9882,3217.7377,606027433.0,664332794462.0,1.3167
310,2024-10-14,000001.SH,3241.4275,3294.6199,3203.901,3284.3225,631466859.0,701499242569.0,1.3723
309,2024-10-15,000001.SH,3265.7461,3285.2147,3201.2919,3201.2919,566054558.0,619091471860.0,1.23
308,2024-10-16,000001.SH,3169.1685,3236.848,3167.7364,3202.948,515813997.0,533062408932.0,1.1209
307,2024-10-17,000001.SH,3220.7334,3241.5675,3169.3843,3169.3843,528611772.0,557347351398.0,1.1486
306,2024-10-18,000001.SH,3165.9745,3313.9784,3152.8213,3261.5633,693014623.0,827948922139.0,1.5058
305,2024-10-21,000001.SH,3276.0598,3300.664,3239.0965,3268.11,668150299.0,855781454017.0,1.4515
304,2024-10-22,000001.SH,3263.8224,3294.9612,3255.1375,3285.8669,574913781.0,698861461335.0,1.249
303,2024-10-23,000001.SH,3285.2474,3331.0823,3277.0663,3302.8028,650444128.0,760066419550.0,1.413
302,2024-10-24,000001.SH,3287.8243,3292.9448,3266.8823,3280.2625,519827074.0,585248946960.0,1.1291
301,2024-10-25,000001.SH,3280.7616,3319.3571,3276.1303,3299.7003,595651707.0,677255321349.0,1.2938
300,2024-10-28,000001.SH,3300.4634,3322.1975,3279.715,3322.1975,672373131.0,717510218019.0,1.4603
299,2024-10-29,000001.SH,3328.0885,3340.4584,3284.2108,3286.407,725326154.0,806573822262.0,1.5752
298,2024-10-30,000001.SH,3273.6421,3291.6795,3244.8063,3266.2378,669018090.0,730619786746.0,1.4529
297,2024-10-31,000001.SH,3267.975,3295.7421,3252.3899,3279.8244,784649094.0,864970968963.0,1.704
296,2024-11-01,000001.SH,3275.5768,3305.3181,3258.7346,3272.0142,852055320.0,878112793945.0,1.8502
295,2024-11-04,000001.SH,3275.6787,3310.2072,3263.8421,3310.2072,665077454.0,692341763272.0,1.4442
294,2024-11-05,000001.SH,3306.8098,3386.9869,3302.0472,3386.9869,821124902.0,929931429369.0,1.783
293,2024-11-06,000001.SH,3395.2217,3420.9986,3367.0812,3383.8062,895855930.0,1026807640358.0,1.9451
292,2024-11-07,000001.SH,3359.9851,3470.6609,3356.258,3470.6609,959556680.0,1048841306121.0,2.0833
291,2024-11-08,000001.SH,3502.1331,3509.8182,3443.193,3452.2971,964034562.0,1107932295571.0,2.0929
290,2024-11-11,000001.SH,3432.3672,3471.1222,3416.7266,3470.0657,818025436.0,1024334899511.0,1.7748
289,2024-11-12,000001.SH,3469.8908,3489.4244,3402.0422,3421.9701,817926524.0,1039600859287.0,1.7746
288,2024-11-13,000001.SH,3406.9164,3442.2983,3404.5254,3439.2778,673662348.0,829435316989.0,1.4616
287,2024-11-14,000001.SH,3429.5054,3441.7746,3376.1528,3379.8389,631556690.0,762884198784.0,1.3702
286,2024-11-15,000001.SH,3369.8092,3391.3204,3330.7263,3330.7263,630285583.0,745937122428.0,1.3671
285,2024-11-18,000001.SH,3344.6904,3386.9031,3309.0076,3323.8486,743950692.0,755809644463.0,1.613
284,2024-11-19,000001.SH,3324.8831,3346.7577,3284.133,3346.0098,625024151.0,651575376256.0,1.3551
283,2024-11-20,000001.SH,3337.6778,3375.2482,3333.0023,3367.9893,566154289.0,627858323157.0,1.2274
282,2024-11-21,000001.SH,3362.9444,3378.5175,3348.8552,3370.4039,530331830.0,614517433700.0,1.1498
281,2024-11-22,000001.SH,3368.043,3372.0034,3267.1916,3267.1916,630687790.0,707626460332.0,1.3672
280,2024-11-25,000001.SH,3274.884,3285.4555,3232.9178,3263.7597,538897390.0,596502088292.0,1.1677
279,2024-11-26,000001.SH,3256.8576,3285.3281,3252.8661,3259.7572,472219304.0,509490596261.0,1.0232
278,2024-11-27,000001.SH,3250.591,3309.8805,3227.3553,3309.7789,511202303.0,571617596024.0,1.1073
277,2024-11-28,000001.SH,3308.2797,3319.2559,3290.3641,3295.6983,511953047.0,558164131747.0,1.1087
276,2024-11-29,000001.SH,3295.2096,3357.5013,3293.6899,3326.4557,580227102.0,663851511036.0,1.2564
275,2024-12-02,000001.SH,3328.482,3369.3032,3323.0091,3363.9823,668477762.0,709509517836.0,1.4466
274,2024-12-03,000001.SH,3366.2853,3386.6176,3348.3742,3378.8063,663030139.0,683982592769.0,1.4348
273,2024-12-04,000001.SH,3376.5715,3388.0241,3352.9434,3364.6498,621028862.0,653467546718.0,1.3439
272,2024-12-05,000001.SH,3353.0573,3377.055,3353.0573,3368.8553,543885746.0,565551128328.0,1.1769
271,2024-12-06,000001.SH,3370.9405,3418.2608,3364.2061,3404.0764,698186572.0,685981058114.0,1.5108
270,2024-12-09,000001.SH,3402.6288,3426.6451,3385.9588,3402.5343,694905205.0,649443191295.0,1.5035
269,2024-12-10,000001.SH,3490.2892,3494.8669,3417.7654,3422.6607,794668034.0,860483994842.0,1.7193
268,2024-12-11,000001.SH,3416.0874,3437.8103,3416.0874,3432.4902,681544610.0,692929618703.0,1.4745
267,2024-12-12,000001.SH,3432.2786,3464.1162,3425.9755,3461.4998,700096689.0,734168982735.0,1.5146
266,2024-12-13,000001.SH,3442.9259,3442.9259,3390.7537,3391.8782,777464144.0,850714862974.0,1.682
265,2024-12-16,000001.SH,3390.083,3401.9263,3376.5358,3386.3312,625578996.0,675237492921.0,1.3544
264,2024-12-17,000001.SH,3381.8141,3396.2074,3357.7694,3361.485,568941505.0,584789337298.0,1.2317
263,2024-12-18,000001.SH,3371.2955,3396.4603,3371.2955,3382.2081,512524979.0,539790684420.0,1.1096
262,2024-12-19,000001.SH,3355.9041,3377.5321,3346.469,3370.0331,513909063.0,559130979000.0,1.1125
261,2024-12-20,000001.SH,3364.481,3390.6182,3362.8193,3368.0693,490964621.0,596821938644.0,1.0629
260,2024-12-23,000001.SH,3367.9037,3384.9918,3348.277,3351.2571,556747248.0,623117789296.0,1.2046
259,2024-12-24,000001.SH,3353.5354,3394.9044,3352.9474,3393.5281,471992673.0,530758037565.0,1.0211
258,2024-12-25,000001.SH,3395.1072,3406.2125,3374.0113,3393.3501,471315592.0,522168241894.0,1.0195
257,2024-12-26,000001.SH,3389.3383,3401.0951,3380.255,3398.0765,422177271.0,518937022553.0,0.9132
256,2024-12-27,000001.SH,3397.2939,3418.952,3388.3215,3400.142,500488130.0,586090438939.0,1.0826
255,2024-12-30,000001.SH,3395.3962,3412.8414,3394.9648,3407.3259,455262383.0,522245330170.0,0.9846
254,2024-12-31,000001.SH,3406.9652,3413.4545,3351.763,3351.763,502731062.0,562584237431.0,1.087
253,2025-01-02,000001.SH,3347.9392,3351.722,3242.0865,3262.5607,561375199.0,603340526740.0,1.2137
