time,open,close,high,low,ma5,ma10
2024-10-11,1.0090227701,1.0114327863,1.0114327863,1.0061592920,1.0045943547,1.0079840886
2024-10-14,1.0161904762,0.9986460004,1.0161904762,0.9986460004,1.0012479020,1.0069156258
2024-10-15,1.0019441944,0.9954391214,1.0019441944,0.9930981326,1.0042458199,1.0053334311
2024-10-16,0.9943365696,0.9885294543,0.9967926267,0.9885294543,1.0005255742,1.0029974278
2024-10-17,0.9862204724,0.9848816029,0.9862204724,0.9844421774,0.9957857931,1.0003149315
2024-10-18,0.9909074244,0.9787360335,0.9929650092,0.9787360335,0.9892464425,0.9969203986
2024-10-21,0.9785467128,0.9759214097,0.9785467128,0.9746298789,0.9847015244,0.9929747132
2024-10-22,0.9757607014,0.9813352477,0.9813352477,0.9757607014,0.9818807496,0.9930632847
2024-10-23,0.9836650652,0.9811803212,0.9836650652,0.9789156627,0.9804109230,0.9904682486
2024-10-24,0.9804109589,0.9790809328,0.9831013228,0.9790809328,0.9792507890,0.9875182910
2024-10-25,0.9776290174,0.9694952671,0.9776290174,0.9694952671,0.9774026357,0.9833245391
2024-10-28,0.9706757615,0.9691925877,0.9716742539,0.9691925877,0.9760568713,0.9803791978
2024-10-29,0.9682304527,0.9747605444,0.9747605444,0.9682304527,0.9747419306,0.9783113401
2024-10-30,0.9755727763,0.9731213389,0.9755727763,0.9731213389,0.9731301342,0.9767705286
2024-10-31,0.9720784209,0.9663566198,0.9720784209,0.9654002935,0.9705852716,0.9749180303
2024-11-01,0.9674272487,0.9882852292,0.9882852292,0.9674272487,0.9743432640,0.9758729498
2024-11-04,0.9931986669,0.9803837105,0.9931986669,0.9800999967,0.9765814886,0.9763191799
2024-11-05,0.9826560787,0.9732328233,0.9826560787,0.9722248705,0.9762759444,0.9755089375
2024-11-06,0.9733524813,0.9725279985,0.9746815030,0.9725279985,0.9761572763,0.9746437052
2024-11-07,0.9750690741,0.9716387541,0.9750690741,0.9713293906,0.9772137031,0.9738994874
2024-11-08,0.9720496894,0.9674386537,0.9720496894,0.9674386537,0.9730443880,0.9736938260
2024-11-11,0.9669759396,0.9614199433,0.9671417760,0.9614199433,0.9692516346,0.9729165616
2024-11-12,0.9615384615,0.9650738163,0.9670270950,0.9615384615,0.9676198332,0.9719478888
2024-11-13,0.9626463774,0.9670178510,0.9706815586,0.9626463774,0.9665178037,0.9713375400
2024-11-14,0.9670584548,0.9707994102,0.9707994102,0.9652951476,0.9663499349,0.9717818190
2024-11-15,0.9690095847,0.9689005407,0.9694831829,0.9635913863,0.9666423123,0.9698433502
2024-11-18,0.9683775158,0.9777971852,0.9781068899,0.9682617188,0.9699177607,0.9695846976
2024-11-19,0.9756815521,0.9667159035,0.9756815521,0.9667159035,0.9702461781,0.9689330056
2024-11-20,0.9657894737,0.9601020870,0.9672849471,0.9601020870,0.9688630253,0.9676904145
2024-11-21,0.9599676375,0.9589798293,0.9618285714,0.9580334190,0.9664991091,0.9664245220
2024-11-22,0.9604730277,0.9593023256,0.9604730277,0.9561646483,0.9645794661,0.9656108892
2024-11-25,0.9592848055,0.9492724603,0.9592848055,0.9492724603,0.9588745211,0.9643961409
2024-11-26,0.9477609445,0.9558336152,0.9565483268,0.9477609445,0.9566980635,0.9634721208
2024-11-27,0.9587169991,0.9475586515,0.9604550939,0.9475586515,0.9541893764,0.9615262008
2024-11-28,0.9443441143,0.9481182083,0.9482982334,0.9443441143,0.9520170522,0.9592580807
2024-11-29,0.9502155887,0.9458089669,0.9522060051,0.9458089669,0.9493183804,0.9569489233
2024-12-02,0.9467203795,0.9433841833,0.9467203795,0.9430791184,0.9481407250,0.9535076231
2024-12-03,0.9431140589,0.9421904427,0.9447781438,0.9389646121,0.9454120906,0.9510550770
2024-12-04,0.9406882462,0.9494798924,0.9494798924,0.9406882462,0.9457963387,0.9499928576
2024-12-05,0.9494460509,0.9396380843,0.9494460509,0.9396380843,0.9441003139,0.9480586830
2024-12-06,0.9389449483,0.9415498295,0.9454268688,0.9389449483,0.9432484864,0.9462834334
2024-12-09,0.9427875644,0.9454980843,0.9456112701,0.9418374091,0.9436712666,0.9459059958
2024-12-10,0.9416000000,0.9423107169,0.9429489140,0.9416000000,0.9436953215,0.9445537060
2024-12-11,0.9436823559,0.9387577369,0.9436823559,0.9384143318,0.9415508904,0.9436736146
2024-12-12,0.9387145922,0.9405971163,0.9437631340,0.9387145922,0.9417426968,0.9429215053
2024-12-13,0.9425144103,0.9432615191,0.9432615191,0.9400260756,0.9420850347,0.9426667606
2024-12-16,0.9435937746,0.9432576556,0.9435937746,0.9430304173,0.9416369490,0.9426541078
2024-12-17,0.9441902141,0.9523406472,0.9523406472,0.9441902141,0.9436429350,0.9436691282
