time,direction,signal,close_1000,close_500,next_close_1000,next_close_500,ret_next_1000,ret_next_500,trade_ret
2024-04-18,short_1000_long_500,-1,5286.7192,5349.8361,5264.3891,5314.8667,-0.004223810487229862,-0.006536536698759976,-0.002312726211530114
2024-04-19,long_1000_short_500,1,5264.3891,5314.8667,5246.0818,5267.5811,-0.0034775734947100068,-0.008896855305891127,0.00541928181118112
2024-04-22,long_1000_short_500,1,5246.0818,5267.5811,5218.4277,5208.2712,-0.005271381776776662,-0.011259418483371864,0.005988036706595201
2024-04-23,short_1000_long_500,-1,5218.4277,5208.2712,5305.6068,5263.0391,0.016706008976611786,0.010515562246451449,-0.006190446730160337
2024-04-24,short_1000_long_500,-1,5305.6068,5263.0391,5313.986,5259.3354,0.0015793104004617753,-0.0007037188836389596,-0.002283029284100735
2024-04-25,long_1000_short_500,1,5313.986,5259.3354,5415.9379,5372.1209,0.019185579337243297,0.021444819815066296,-0.002259240477822999
2024-04-26,short_1000_long_500,-1,5415.9379,5372.1209,5545.2346,5478.4908,0.02387337196019179,0.01980035482820197,-0.00407301713198982
2024-04-29,long_1000_short_500,1,5545.2346,5478.4908,5497.4303,5441.1411,-0.008620789461278977,-0.006817516240056443,-0.0018032732212225344
2024-04-30,long_1000_short_500,1,5497.4303,5441.1411,5606.8416,5528.6036,0.019902262335185883,0.016074293680786944,0.003827968654398939
2024-05-06,long_1000_short_500,1,5606.8416,5528.6036,5625.3358,5527.0847,0.003298505882527447,-0.00027473483539319776,0.003573240717920645
2024-05-07,long_1000_short_500,1,5625.3358,5527.0847,5536.6589,5458.7559,-0.015763841155935876,-0.012362538971042003,-0.003401302184893873
2024-05-08,short_1000_long_500,-1,5536.6589,5458.7559,5626.8251,5556.7712,0.016285308816838873,0.0179556114608459,0.0016703026440070268
2024-05-09,long_1000_short_500,1,5626.8251,5556.7712,5574.232,5535.3954,-0.009346851744156726,-0.0038468022581170658,-0.00550004948603966
2024-05-10,short_1000_long_500,-1,5574.232,5535.3954,5520.8038,5505.2595,-0.00958485402114595,-0.0054442181311926685,0.004140635889953281
2024-05-13,short_1000_long_500,-1,5520.8038,5505.2595,5551.6751,5500.7379,0.005591812554541553,-0.0008213236814722524,-0.0064131362360138056
2024-05-14,long_1000_short_500,1,5551.6751,5500.7379,5497.2349,5446.6557,-0.009806085374124307,-0.009831808201586911,2.5722827462604236e-05
2024-05-15,short_1000_long_500,-1,5497.2349,5446.6557,5488.946,5424.6652,-0.0015078307823448434,-0.004037431629834831,-0.002529600847489988
2024-05-16,short_1000_long_500,-1,5488.946,5424.6652,5563.231,5491.8944,0.013533563638629342,0.01239324410288023,-0.0011403195357491125
2024-05-17,long_1000_short_500,1,5563.231,5491.8944,5596.7772,5523.5013,0.006029985093195078,0.0057551907771569155,0.00027479431603816273
2024-05-20,short_1000_long_500,-1,5596.7772,5523.5013,5536.7447,5478.9131,-0.010726262249639018,-0.008072452160009513,0.0026538100896295047
2024-05-21,short_1000_long_500,-1,5536.7447,5478.9131,5539.6597,5468.6068,0.0005264826460211758,-0.0018810847720873713,-0.002407567418108547
2024-05-22,long_1000_short_500,1,5539.6597,5468.6068,5412.8237,5362.3053,-0.022895991246538183,-0.019438497571264368,-0.003457493675273815
2024-05-23,short_1000_long_500,-1,5412.8237,5362.3053,5350.1073,5313.4546,-0.011586632684896125,-0.00911001840943293,0.002476614275463196
2024-05-24,long_1000_short_500,1,5350.1073,5313.4546,5404.6158,5371.3693,0.010188300335583822,0.010899632039765628,-0.0007113317041818057
2024-05-27,short_1000_long_500,-1,5404.6158,5371.3693,5348.0293,5316.1286,-0.010470031930854273,-0.010284286355064065,0.00018574557579020823
2024-05-28,long_1000_short_500,1,5348.0293,5316.1286,5351.2524,5328.3064,0.000602670594942456,0.002290727128008152,-0.001688056533065696
2024-05-29,long_1000_short_500,1,5351.2524,5328.3064,5334.2958,5308.66,-0.0031687161682002474,-0.0036871753471234836,0.0005184591789232362
2024-05-30,short_1000_long_500,-1,5334.2958,5308.66,5355.2099,5308.5403,0.003920686213164215,-2.2548062976412986e-05,-0.003943234276140628
2024-05-31,long_1000_short_500,1,5355.2099,5308.5403,5284.6236,5274.0687,-0.013180865235553174,-0.006493611812648403,-0.006687253422904771
2024-06-03,short_1000_long_500,-1,5284.6236,5274.0687,5313.708,5341.9496,0.005503589697476219,0.012870689378771338,0.0073670996812951195
2024-06-04,short_1000_long_500,-1,5313.708,5341.9496,5244.0851,5277.9405,-0.013102507702718924,-0.011982348167418166,0.0011201595353007576
2024-06-05,long_1000_short_500,1,5244.0851,5277.9405,5130.8693,5228.8002,-0.021589237749021217,-0.009310506626590387,-0.01227873112243083
2024-06-06,short_1000_long_500,-1,5130.8693,5228.8002,5153.5867,5208.9798,0.0044275928057648795,-0.003790621030040464,-0.008218213835805344
2024-06-07,long_1000_short_500,1,5153.5867,5208.9798,5198.923,5217.4702,0.008797038381056055,0.0016299544874409655,0.007167083893615089
2024-06-11,short_1000_long_500,-1,5198.923,5217.4702,5216.4621,5232.9534,0.003373602571147938,0.0029675684587524565,-0.00040603411239548137
2024-06-12,short_1000_long_500,-1,5216.4621,5232.9534,5180.2357,5194.59,-0.006944630154602227,-0.007331118217104748,-0.0003864880625025213
2024-06-13,short_1000_long_500,-1,5180.2357,5194.59,5180.6513,5213.0927,8.022800970231003e-05,0.003561917302424167,0.003481689292721857
2024-06-14,short_1000_long_500,-1,5180.6513,5213.0927,5183.9678,5207.128,0.0006401704743186354,-0.0011441768530224827,-0.0017843473273411181
2024-06-17,short_1000_long_500,-1,5183.9678,5207.128,5227.2542,5230.8913,0.008350051865677166,0.0045636097288179744,-0.0037864421368591916
2024-06-18,short_1000_long_500,-1,5227.2542,5230.8913,5159.9945,5168.8204,-0.012867118649022347,-0.011866218669082329,0.0010008999799400176
2024-06-19,short_1000_long_500,-1,5159.9945,5168.8204,5056.1383,5094.5653,-0.020127191996037963,-0.014365966362460458,0.005761225633577505
2024-06-20,short_1000_long_500,-1,5056.1383,5094.5653,5055.3329,5102.3292,-0.00015929152887284026,0.0015239573040706222,0.0016832488329434625
2024-06-21,short_1000_long_500,-1,5055.3329,5102.3292,4887.777,4992.9097,-0.033144385011717126,-0.021445009859418662,0.011699375152298463
2024-06-24,short_1000_long_500,-1,4887.777,4992.9097,4847.6106,4948.6343,-0.00821772351725536,-0.008867654866660302,-0.0006499313494049419
2024-06-25,long_1000_short_500,1,4847.6106,4948.6343,4986.3839,5020.4318,0.028627154994668835,0.01450854834837978,0.014118606646289056
2024-06-26,short_1000_long_500,-1,4986.3839,5020.4318,4864.0855,4928.0514,-0.024526470976292014,-0.018400887349968587,0.0061255836263234276
2024-06-27,short_1000_long_500,-1,4864.0855,4928.0514,4895.9869,4942.7817,0.006558560699642335,0.002989071907813168,-0.0035694887918291673
2024-06-28,short_1000_long_500,-1,4895.9869,4942.7817,4940.2471,5003.1608,0.009040097717581741,0.012215611302437202,0.0031755135848554605
2024-07-01,short_1000_long_500,-1,4940.2471,5003.1608,4905.6497,4949.4771,-0.007003171966843413,-0.010729956950414121,-0.003726784983570708
2024-07-02,long_1000_short_500,1,4905.6497,4949.4771,4867.1326,4910.9245,-0.007851579781573026,-0.007789226866005694,-6.235291556733191e-05
2024-07-03,long_1000_short_500,1,4867.1326,4910.9245,4761.868,4834.4982,-0.02162764170427567,-0.015562507629673372,-0.006065134074602296
2024-07-04,short_1000_long_500,-1,4761.868,4834.4982,4810.7939,4866.2647,0.010274518319281167,0.006570795703264354,-0.0037037226160168135
2024-07-05,long_1000_short_500,1,4810.7939,4866.2647,4693.9648,4783.6165,-0.02428478592691319,-0.016983909650455264,-0.007300876276457924
2024-07-08,short_1000_long_500,-1,4693.9648,4783.6165,4797.0634,4876.899,0.021964076083399675,0.019500413546947204,-0.002463662536452471
2024-07-09,short_1000_long_500,-1,4797.0634,4876.899,4777.6817,4844.1624,-0.004040326004446815,-0.006712585189892262,-0.002672259185445447
2024-07-10,short_1000_long_500,-1,4777.6817,4844.1624,4893.5942,4939.7318,0.024261243690637535,0.019728777053386937,-0.004532466637250598
2024-07-11,long_1000_short_500,1,4893.5942,4939.7318,4878.0195,4919.3639,-0.003182670929273046,-0.004123280539238827,0.0009406096099657812
2024-07-12,long_1000_short_500,1,4878.0195,4919.3639,4827.6023,4883.8971,-0.010335588039367405,-0.007209631310259423,-0.0031259567291079815
2024-07-15,long_1000_short_500,1,4827.6023,4883.8971,4836.7184,4898.3626,0.001888328705121456,0.002961876489985915,-0.0010735477848644592
2024-07-16,short_1000_long_500,-1,4836.7184,4898.3626,4795.6236,4856.5794,-0.008496421871490356,-0.008530034097516737,-3.3612226026380476e-05
2024-07-17,long_1000_short_500,1,4795.6236,4856.5794,4812.4263,4877.6916,0.0035037570504907745,0.004347133704845962,-0.0008433766543551879
2024-07-18,long_1000_short_500,1,4812.4263,4877.6916,4821.4227,4872.0532,0.0018694104468675032,-0.0011559566414571787,0.003025367088324682
2024-07-19,long_1000_short_500,1,4821.4227,4872.0532,4826.8713,4865.9778,0.0011300813761878636,-0.001246989667518572,0.0023770710437064357
2024-07-22,short_1000_long_500,-1,4826.8713,4865.9778,4694.9525,4722.7994,-0.027330084396490872,-0.029424384139196014,-0.0020942997427051413
2024-07-23,short_1000_long_500,-1,4694.9525,4722.7994,4631.0111,4668.0621,-0.013619179320770725,-0.011590011635895348,0.002029167684875377
2024-07-24,short_1000_long_500,-1,4631.0111,4668.0621,4632.5667,4665.4488,0.000335909365451581,-0.0005598254573347949,-0.000895734822786376
2024-07-25,long_1000_short_500,1,4632.5667,4665.4488,4702.08,4736.3771,0.015005353295830526,0.01520288894821853,-0.0001975356523880034
2024-07-26,short_1000_long_500,-1,4702.08,4736.3771,4685.6457,4708.8443,-0.0034951128011433408,-0.005813050654264851,-0.00231793785312151
2024-07-29,short_1000_long_500,-1,4685.6457,4708.8443,4702.4914,4699.282,0.00359517152566613,-0.0020307105928305536,-0.005625882118496683
2024-07-30,long_1000_short_500,1,4702.4914,4699.282,4889.0807,4886.4136,0.0396788179134151,0.039821317384230115,-0.00014249947081501624
2024-07-31,long_1000_short_500,1,4889.0807,4886.4136,4878.289,4852.9725,-0.002207306580151336,-0.0068436900224737585,0.004636383442322423
2024-08-01,short_1000_long_500,-1,4878.289,4852.9725,4809.8891,4788.6159,-0.01402128902162203,-0.013261274404501533,0.0007600146171204969
2024-08-02,long_1000_short_500,1,4809.8891,4788.6159,4678.7753,4693.8478,-0.02725921477066906,-0.01979029055138881,-0.0074689242192802485
2024-08-05,long_1000_short_500,1,4678.7753,4693.8478,4749.9466,4750.776,0.015211523408700467,0.012128258611197484,0.0030832647975029825
2024-08-06,short_1000_long_500,-1,4749.9466,4750.776,4743.41,4751.9408,-0.0013761417865203462,0.00024518099779924363,0.0016213227843195899
2024-08-07,short_1000_long_500,-1,4743.41,4751.9408,4739.4933,4755.8149,-0.0008257139905679667,0.0008152668905303528,0.0016409808810983195
2024-08-08,long_1000_short_500,1,4739.4933,4755.8149,4702.7453,4720.3104,-0.007753571463008591,-0.007465492401733331,-0.0002880790612752593
2024-08-09,short_1000_long_500,-1,4702.7453,4720.3104,4674.1017,4714.1586,-0.006090825288794455,-0.0013032617516002265,0.004787563537194228
2024-08-12,short_1000_long_500,-1,4674.1017,4714.1586,4697.5858,4731.8353,0.005024302316742446,0.0037497041359617622,-0.0012745981807806839
2024-08-13,short_1000_long_500,-1,4697.5858,4731.8353,4649.2784,4667.0731,-0.01028345240655315,-0.01368648650979043,-0.003403034103237279
2024-08-14,short_1000_long_500,-1,4649.2784,4667.0731,4691.8503,4698.375,0.009156668269209245,0.006706965871179582,-0.002449702398029663
2024-08-15,long_1000_short_500,1,4691.8503,4698.375,4655.6509,4670.3789,-0.007715378301818454,-0.005958677202224205,-0.001756701099594249
2024-08-16,short_1000_long_500,-1,4655.6509,4670.3789,4663.6121,4682.9628,0.0017100079389544831,0.0026944066572416325,0.0009843987182871494
2024-08-19,short_1000_long_500,-1,4663.6121,4682.9628,4579.3041,4602.0095,-0.018077832845489028,-0.01728676982016597,0.0007910630253230577
2024-08-20,short_1000_long_500,-1,4579.3041,4602.0095,4548.2644,4587.1218,-0.006778256984505626,-0.003235043300106266,0.00354321368439936
2024-08-21,short_1000_long_500,-1,4548.2644,4587.1218,4491.8392,4533.3695,-0.012405875085010343,-0.011718088671637261,0.0006877864133730816
2024-08-22,long_1000_short_500,1,4491.8392,4533.3695,4495.3439,4537.0872,0.0007802371910372585,0.0008200743398480981,-3.983714881083955e-05
2024-08-23,long_1000_short_500,1,4495.3439,4537.0872,4512.893,4544.3594,0.003903839259105535,0.0016028345234362362,0.0023010047356692986
2024-08-26,long_1000_short_500,1,4512.893,4544.3594,4459.6801,4495.2856,-0.011791305488519366,-0.010798837785585436,-0.0009924677029339302
2024-08-27,long_1000_short_500,1,4459.6801,4495.2856,4470.5501,4500.0088,0.0024373945566187327,0.0010507007608147045,0.0013866937958040282
2024-08-28,long_1000_short_500,1,4470.5501,4500.0088,4542.4637,4557.9006,0.016086074060550182,0.01286481928657568,0.0032212547739745023
2024-08-29,long_1000_short_500,1,4542.4637,4557.9006,4629.3195,4639.1144,0.019120857256382573,0.01781824728691994,0.0013026099694626314
2024-08-30,short_1000_long_500,-1,4629.3195,4639.1144,4532.5145,4546.8832,-0.020911280804878474,-0.01988120836166496,0.0010300724432135144
2024-09-02,long_1000_short_500,1,4532.5145,4546.8832,4572.397,4596.4819,0.008799199649554224,0.010908285482239766,-0.002109085832685542
2024-09-03,short_1000_long_500,-1,4572.397,4596.4819,4550.7697,4582.084,-0.0047299698604473805,-0.003132373914058073,0.0015975959463893075
2024-09-04,long_1000_short_500,1,4550.7697,4582.084,4586.7813,4601.0911,0.007913298710765293,0.004148134342364607,0.0037651643684006864
2024-09-05,short_1000_long_500,-1,4586.7813,4601.0911,4508.2281,4537.4544,-0.017125996393156817,-0.013830784615414426,0.0032952117777423906
2024-09-06,long_1000_short_500,1,4508.2281,4537.4544,4475.5315,4507.1866,-0.007252649882555917,-0.006670656569022437,-0.0005819933135334798
2024-09-09,short_1000_long_500,-1,4475.5315,4507.1866,4487.5755,4507.7074,0.002691077026270472,0.00011554879933317608,-0.002575528226937296
2024-09-10,short_1000_long_500,-1,4487.5755,4507.7074,4486.0066,4514.9158,-0.00034960971687281184,0.0015991277517257707,0.0019487374685985825
2024-09-11,short_1000_long_500,-1,4486.0066,4514.9158,4468.7439,4496.5919,-0.0038481218462762534,-0.0040585252996300225,-0.0002104034533537691
2024-09-12,short_1000_long_500,-1,4468.7439,4496.5919,4413.1872,4450.9587,-0.01243228550197295,-0.010148397056001457,0.0022838884459714937
2024-09-13,short_1000_long_500,-1,4413.1872,4450.9587,4399.1332,4462.8701,-0.003184546533625432,0.0026761425577819242,0.005860689091407356
2024-09-18,long_1000_short_500,1,4399.1332,4462.8701,4482.2746,4520.3939,0.018899495927970467,0.012889418403641217,0.006010077524329249
2024-09-19,long_1000_short_500,1,4482.2746,4520.3939,4463.3561,4498.3901,-0.004220736498384059,-0.004867673146802587,0.0006469366484185279
2024-09-20,short_1000_long_500,-1,4463.3561,4498.3901,4469.1326,4494.6878,0.0012942054970697114,-0.0008230277760925553,-0.0021172332731622667
2024-09-23,short_1000_long_500,-1,4469.1326,4494.6878,4642.5577,4689.5964,0.038805091618897336,0.043364213194073464,0.004559121575176128
2024-09-24,short_1000_long_500,-1,4642.5577,4689.5964,4686.2584,4731.4755,0.009413065560821998,0.008930214122477409,-0.0004828514383445892
2024-09-25,long_1000_short_500,1,4686.2584,4731.4755,4874.1321,4938.1839,0.04009034158253,0.04368793624737166,-0.0035975946648416635
2024-09-26,long_1000_short_500,1,4874.1321,4938.1839,5136.4408,5201.6656,0.05381649381230358,0.05335599186575468,0.00046050194654889687
2024-09-27,long_1000_short_500,1,5136.4408,5201.6656,5708.8258,5743.217,0.11143611350490001,0.10411115239703217,0.0073249611078678445
2024-09-30,long_1000_short_500,1,5708.8258,5743.217,6201.9854,6155.5817,0.08638547002082286,0.07180029937925037,0.014585170641572498
2024-10-08,short_1000_long_500,-1,6201.9854,6155.5817,5727.38,5735.641,-0.07652475286381677,-0.06822112360233967,0.008303629261477097
2024-10-09,short_1000_long_500,-1,5727.38,5735.641,5654.5298,5690.8822,-0.012719637949638374,-0.007803626482201342,0.0049160114674370314
2024-10-10,long_1000_short_500,1,5654.5298,5690.8822,5416.7576,5470.8133,-0.042049862395278303,-0.038670436720689816,-0.0033794256745884876
2024-10-11,short_1000_long_500,-1,5416.7576,5470.8133,5615.7563,5608.153,0.03673760479885613,0.02510407364842826,-0.011633531150427867
2024-10-14,long_1000_short_500,1,5615.7563,5608.153,5507.1758,5472.56,-0.01933497363480674,-0.0241778353764599,0.004842861741653159
2024-10-15,long_1000_short_500,1,5507.1758,5472.56,5524.2546,5461.0877,0.0031011902688853343,-0.0020963315157805917,0.005197521784665926
2024-10-16,long_1000_short_500,1,5524.2546,5461.0877,5505.6149,5418.9883,-0.0033741565785184724,-0.007708977096266056,0.004334820517747584
2024-10-17,short_1000_long_500,-1,5505.6149,5418.9883,5749.4341,5640.0198,0.04428555291798575,0.04078833312852881,-0.00349721978945694
2024-10-18,short_1000_long_500,-1,5749.4341,5640.0198,5860.5711,5704.225,0.019330076328729406,0.011383860744602403,-0.007946215584127003
2024-10-21,long_1000_short_500,1,5860.5711,5704.225,5888.8148,5753.8497,0.004819274353654812,0.008699639302446771,-0.003880364948791959
2024-10-22,short_1000_long_500,-1,5888.8148,5753.8497,5903.5783,5776.383,0.002507040975375796,0.003916212827040022,0.001409171851664226
2024-10-23,long_1000_short_500,1,5903.5783,5776.383,5861.6319,5726.7041,-0.007105250048093703,-0.0086003473107652,0.0014950972626714965
2024-10-24,short_1000_long_500,-1,5861.6319,5726.7041,5974.9086,5809.6879,0.019325113199277988,0.01449067361451406,-0.004834439584763928
2024-10-25,long_1000_short_500,1,5974.9086,5809.6879,6082.0877,5883.7203,0.017938199088100015,0.012742922042335625,0.00519527704576439
2024-10-28,long_1000_short_500,1,6082.0877,5883.7203,5983.8364,5812.5286,-0.01615420639199261,-0.012099776394877249,-0.004054429997115361
2024-10-29,short_1000_long_500,-1,5983.8364,5812.5286,6019.3472,5837.9338,0.005934453689275365,0.004370765590727688,-0.0015636880985476775
2024-10-30,long_1000_short_500,1,6019.3472,5837.9338,6116.6632,5901.2904,0.01616720165269747,0.010852572531740545,0.005314629120956926
2024-10-31,long_1000_short_500,1,6116.6632,5901.2904,5930.2319,5831.8217,-0.030479248881972176,-0.011771781303966944,-0.018707467578005232
2024-11-01,long_1000_short_500,1,5930.2319,5831.8217,6053.1116,5928.9085,0.020720892887848175,0.016647765482953547,0.0040731274048946275
2024-11-04,short_1000_long_500,-1,6053.1116,5928.9085,6266.5423,6111.9707,0.03525966711071371,0.03087620596607299,-0.004383461144640721
2024-11-05,long_1000_short_500,1,6266.5423,6111.9707,6293.1933,6125.7868,0.004252903550974185,0.00226049840193121,0.001992405149042975
2024-11-06,long_1000_short_500,1,6293.1933,6125.7868,6403.9175,6239.5598,0.017594279203214658,0.01857279786492083,-0.0009785186617061736
2024-11-07,short_1000_long_500,-1,6403.9175,6239.5598,6423.1217,6222.445,0.002998820643770106,-0.0027429499113063027,-0.005741770555076409
2024-11-08,short_1000_long_500,-1,6423.1217,6222.445,6579.0054,6330.6152,0.024269149376385135,0.017383874023796153,-0.006885275352588982
2024-11-11,short_1000_long_500,-1,6579.0054,6330.6152,6491.9723,6263.883,-0.013228914510390877,-0.010541187213527148,0.002687727296863729
2024-11-12,long_1000_short_500,1,6491.9723,6263.883,6474.3941,6259.8412,-0.002707682532779754,-0.0006452547086208682,-0.0020624278241588856
2024-11-13,short_1000_long_500,-1,6474.3941,6259.8412,6272.1911,6078.3051,-0.031231185015444196,-0.029000112654614996,0.0022310723608292005
2024-11-14,long_1000_short_500,1,6272.1911,6078.3051,6125.5126,5924.4834,-0.023385527905870118,-0.025306676362790603,0.001921148456920485
2024-11-15,long_1000_short_500,1,6125.5126,5924.4834,5974.5576,5833.0358,-0.024643651863519134,-0.015435539915598429,-0.009208111947920705
2024-11-18,long_1000_short_500,1,5974.5576,5833.0358,6130.2848,5936.6015,0.026065059612112584,0.01775502560776321,0.008310034004349376
2024-11-19,long_1000_short_500,1,6130.2848,5936.6015,6250.8029,5992.3904,0.01965946182467726,0.009397447344242416,0.010262014480434845
2024-11-20,long_1000_short_500,1,6250.8029,5992.3904,6262.1644,5985.3128,0.0018176065029982258,-0.0011810979471564842,0.00299870445015471
2024-11-21,long_1000_short_500,1,6262.1644,5985.3128,6030.4882,5750.2457,-0.03699618617486311,-0.03927398748483113,0.0022778013099680194
2024-11-22,short_1000_long_500,-1,6030.4882,5750.2457,6052.1287,5735.6493,0.003588515437274342,-0.002538395881066524,-0.006126911318340866
2024-11-25,long_1000_short_500,1,6052.1287,5735.6493,5981.5699,5690.4792,-0.011658509509224424,-0.007875324594898148,-0.0037831849143262763
2024-11-26,short_1000_long_500,-1,5981.5699,5690.4792,6118.6636,5804.9368,0.022919350988442,0.020113877228476795,-0.0028054737599652046
2024-11-27,long_1000_short_500,1,6118.6636,5804.9368,6086.0852,5757.5965,-0.005324430648548706,-0.008155179226068565,0.0028307485775198593
2024-11-28,long_1000_short_500,1,6086.0852,5757.5965,6189.1276,5851.9385,0.016930817859730052,0.016385656757989198,0.0005451611017408542
2024-11-29,short_1000_long_500,-1,6189.1276,5851.9385,6313.6077,5943.6245,0.020112705383550367,0.015667628769509445,-0.0044450766140409215
