number,time,thscode,open,high,low,close,volume,amount,turnoverRatio
395,2024-06-05,000905.SH,5328.8678,5347.4297,5277.9405,5277.9405,105792757.0,111608396273.0,0.9218
394,2024-06-06,000905.SH,5291.5208,5305.878,5213.6618,5228.8002,133368231.0,135739981470.0,1.162
393,2024-06-07,000905.SH,5247.1462,5258.818,5172.0505,5208.9798,113527478.0,118553769519.0,0.9876
392,2024-06-11,000905.SH,5182.4129,5232.8495,5159.334,5217.4702,116437116.0,119660626659.0,1.0128
391,2024-06-12,000905.SH,5209.1344,5245.9909,5205.5716,5232.9534,103065569.0,111341271704.0,0.8965
390,2024-06-13,000905.SH,5231.9096,5233.7954,5182.7423,5194.59,118232764.0,123194241679.0,1.0284
389,2024-06-14,000905.SH,5180.2887,5235.8781,5163.384,5213.0927,133998620.0,146009261401.0,1.1655
388,2024-06-17,000905.SH,5189.284,5223.5894,5184.5987,5207.128,107970664.0,135704407617.0,0.9523
387,2024-06-18,000905.SH,5207.9777,5243.5867,5204.9707,5230.8913,94090903.0,120391272834.0,0.8282
386,2024-06-19,000905.SH,5235.4758,5236.3018,5168.8204,5168.8204,87849590.0,111740529823.0,0.7732
385,2024-06-20,000905.SH,5162.1609,5184.747,5092.2867,5094.5653,95609003.0,113062777427.0,0.8415
384,2024-06-21,000905.SH,5079.9226,5128.1378,5071.6547,5102.3292,83838907.0,98090349439.0,0.7379
383,2024-06-24,000905.SH,5072.8028,5078.955,4986.7679,4992.9097,100186646.0,113108464982.0,0.8818
382,2024-06-25,000905.SH,4989.0713,5007.3355,4918.0393,4948.6343,91636779.0,104683752506.0,0.8064
381,2024-06-26,000905.SH,4942.1652,5024.7679,4915.6644,5020.4318,93394621.0,102152255030.0,0.8219
380,2024-06-27,000905.SH,4998.9936,5000.1752,4925.1601,4928.0514,88537187.0,97364975399.0,0.7789
379,2024-06-28,000905.SH,4914.6693,5003.4091,4914.5467,4942.7817,106308342.0,114743251799.0,0.9352
378,2024-07-01,000905.SH,4943.7867,5017.6099,4929.0871,5003.1608,97312793.0,110821074066.0,0.8551
377,2024-07-02,000905.SH,5000.5757,5002.7424,4934.1169,4949.4771,96209334.0,105902911013.0,0.8453
376,2024-07-03,000905.SH,4945.3994,4950.5148,4905.3897,4910.9245,84528331.0,96121126342.0,0.7427
375,2024-07-04,000905.SH,4917.4414,4935.6055,4827.342,4834.4982,91008466.0,98771611007.0,0.7996
374,2024-07-05,000905.SH,4828.8628,4877.9326,4794.1292,4866.2647,83133279.0,93724633827.0,0.7303
373,2024-07-08,000905.SH,4857.0245,4857.2655,4768.5636,4783.6165,90254500.0,96789200227.0,0.7929
372,2024-07-09,000905.SH,4775.3131,4888.4822,4745.3165,4876.899,111401968.0,126704548339.0,0.9786
371,2024-07-10,000905.SH,4857.483,4891.3725,4836.17,4844.1624,100953186.0,117244916014.0,0.8868
370,2024-07-11,000905.SH,4902.8106,4941.7015,4871.172,4939.7318,115275494.0,133127527343.0,1.0126
