number,time,thscode,open,high,low,close,amount,volume
419,2024-06-04,IMZL.CFE,5209.8000000000,5285.0000000000,5180.8000000000,5268.6000000000,9544223.7359999996,91299.0000000000
418,2024-06-05,IMZL.CFE,5256.2000000000,5288.6000000000,5203.8000000000,5209.6000000000,7449531.1960000005,70893.0000000000
417,2024-06-06,IMZL.CFE,5235.4000000000,5246.0000000000,5071.4000000000,5101.8000000000,11458562.5920000002,111388.0000000000
416,2024-06-07,IMZL.CFE,5151.0000000000,5167.8000000000,5060.8000000000,5115.0000000000,10324453.8560000006,100891.0000000000
415,2024-06-11,IMZL.CFE,5094.4000000000,5191.2000000000,5048.0000000000,5174.0000000000,9297015.9519999996,90754.0000000000
414,2024-06-12,IMZL.CFE,5164.8000000000,5207.0000000000,5158.2000000000,5180.6000000000,7070632.7719999999,68123.0000000000
413,2024-06-13,IMZL.CFE,5199.8000000000,5199.8000000000,5134.2000000000,5148.4000000000,7094967.0400000000,68759.0000000000
412,2024-06-14,IMZL.CFE,5132.2000000000,5193.8000000000,5113.0000000000,5178.8000000000,8501524.8399999999,82584.0000000000
411,2024-06-17,IMZL.CFE,5152.0000000000,5207.0000000000,5142.8000000000,5173.8000000000,6573264.0559999999,63411.0000000000
410,2024-06-18,IMZL.CFE,5171.2000000000,5242.6000000000,5171.2000000000,5230.0000000000,7149880.4440000001,68503.0000000000
409,2024-06-19,IMZL.CFE,5240.6000000000,5254.0000000000,5141.0000000000,5155.0000000000,7112297.5640000002,68614.0000000000
408,2024-06-20,IMZL.CFE,5155.2000000000,5172.8000000000,5048.6000000000,5064.0000000000,5629703.5599999996,55148.0000000000
407,2024-06-21,IMZL.CFE,4990.2000000000,5036.4000000000,4968.0000000000,4994.6000000000,7426240.6760000000,74160.0000000000
406,2024-06-24,IMZL.CFE,4961.2000000000,4979.8000000000,4826.0000000000,4834.0000000000,8681345.7520000003,88614.0000000000
405,2024-06-25,IMZL.CFE,4852.0000000000,4867.6000000000,4767.8000000000,4808.4000000000,8731958.5079999994,90594.0000000000
404,2024-06-26,IMZL.CFE,4808.4000000000,4966.2000000000,4772.4000000000,4954.4000000000,10561218.7960000001,108500.0000000000
403,2024-06-27,IMZL.CFE,4936.4000000000,4943.0000000000,4818.0000000000,4835.0000000000,9127371.7320000008,93752.0000000000
402,2024-06-28,IMZL.CFE,4825.0000000000,4951.8000000000,4823.2000000000,4851.4000000000,10367618.7599999998,105825.0000000000
401,2024-07-01,IMZL.CFE,4858.0000000000,4929.4000000000,4793.2000000000,4893.2000000000,9447366.2880000006,97193.0000000000
400,2024-07-02,IMZL.CFE,4900.0000000000,4917.4000000000,4838.0000000000,4863.8000000000,7563014.6840000004,77542.0000000000
399,2024-07-03,IMZL.CFE,4861.2000000000,4879.0000000000,4821.0000000000,4832.2000000000,7255335.5839999998,74798.0000000000
398,2024-07-04,IMZL.CFE,4843.6000000000,4853.0000000000,4701.4000000000,4729.0000000000,8254664.6720000003,86507.0000000000
397,2024-07-05,IMZL.CFE,4728.0000000000,4806.4000000000,4680.0000000000,4778.2000000000,9332633.4440000001,98420.0000000000
396,2024-07-08,IMZL.CFE,4768.8000000000,4769.0000000000,4637.0000000000,4663.0000000000,8260361.9440000001,88034.0000000000
395,2024-07-09,IMZL.CFE,4656.0000000000,4795.6000000000,4626.8000000000,4766.6000000000,11607287.2359999996,123226.0000000000
394,2024-07-10,IMZL.CFE,4755.8000000000,4813.6000000000,4747.8000000000,4758.0000000000,8013972.5000000000,83873.0000000000
393,2024-07-11,IMZL.CFE,4840.0000000000,4888.2000000000,4799.6000000000,4881.4000000000,8722512.9279999994,89853.0000000000
392,2024-07-12,IMZL.CFE,4871.0000000000,4892.0000000000,4842.2000000000,4864.2000000000,6626657.0000000000,68072.0000000000
391,2024-07-15,IMZL.CFE,4850.2000000000,4856.4000000000,4790.4000000000,4808.8000000000,6699403.7479999997,69517.0000000000
390,2024-07-16,IMZL.CFE,4795.8000000000,4837.4000000000,4767.0000000000,4816.6000000000,6939145.6239999998,72248.0000000000
389,2024-07-17,IMZL.CFE,4820.2000000000,4834.2000000000,4771.6000000000,4789.6000000000,6088215.1160000004,63485.0000000000
388,2024-07-18,IMZL.CFE,4763.6000000000,4829.0000000000,4713.4000000000,4809.2000000000,5780737.7120000003,60705.0000000000
387,2024-07-19,IMZL.CFE,4715.0000000000,4823.6000000000,4710.8000000000,4757.0000000000,7579025.2719999999,79476.0000000000
386,2024-07-22,IMZL.CFE,4777.8000000000,4808.0000000000,4737.0000000000,4766.2000000000,5990572.8080000002,62756.0000000000
385,2024-07-23,IMZL.CFE,4776.0000000000,4781.8000000000,4624.4000000000,4625.0000000000,6187127.9600000000,65738.0000000000
384,2024-07-24,IMZL.CFE,4619.8000000000,4649.4000000000,4562.2000000000,4570.2000000000,8199664.9479999999,89033.0000000000
383,2024-07-25,IMZL.CFE,4555.0000000000,4643.0000000000,4542.0000000000,4579.2000000000,8152541.3399999999,88909.0000000000
382,2024-07-26,IMZL.CFE,4601.4000000000,4679.0000000000,4600.2000000000,4664.6000000000,7718457.1840000004,83036.0000000000
381,2024-07-29,IMZL.CFE,4679.0000000000,4679.0000000000,4619.2000000000,4638.6000000000,5520017.3600000003,59453.0000000000
380,2024-07-30,IMZL.CFE,4618.6000000000,4685.4000000000,4585.2000000000,4656.0000000000,6885390.7319999998,74188.0000000000
379,2024-07-31,IMZL.CFE,4660.0000000000,4898.8000000000,4648.0000000000,4895.0000000000,9669669.5120000001,100816.0000000000
378,2024-08-01,IMZL.CFE,4899.2000000000,4935.0000000000,4827.6000000000,4859.4000000000,7903104.4079999998,81007.0000000000
377,2024-08-02,IMZL.CFE,4820.0000000000,4892.0000000000,4781.8000000000,4792.8000000000,7862598.3880000003,81276.0000000000
