number,time,thscode,open,high,low,close,amount,volume
455,2024-04-29,ICZL.CFE,5399.2000000000,5505.4000000000,5393.0000000000,5484.8000000000,5226901.5480000004,47894.0000000000
454,2024-04-30,ICZL.CFE,5489.8000000000,5493.0000000000,5438.0000000000,5442.0000000000,3727392.2760000001,34131.0000000000
453,2024-05-06,ICZL.CFE,5529.6000000000,5548.0000000000,5500.2000000000,5523.4000000000,4383892.5480000004,39670.0000000000
452,2024-05-07,ICZL.CFE,5530.0000000000,5542.8000000000,5501.2000000000,5522.0000000000,3047761.4199999999,27593.0000000000
451,2024-05-08,ICZL.CFE,5501.6000000000,5508.8000000000,5444.6000000000,5450.6000000000,3250866.9399999999,29707.0000000000
450,2024-05-09,ICZL.CFE,5470.0000000000,5572.0000000000,5459.8000000000,5548.6000000000,4121808.8160000001,37228.0000000000
449,2024-05-10,ICZL.CFE,5558.0000000000,5576.8000000000,5486.2000000000,5530.8000000000,4135725.7640000000,37466.0000000000
448,2024-05-13,ICZL.CFE,5480.0000000000,5526.6000000000,5451.0000000000,5497.0000000000,4239105.0159999998,38609.0000000000
447,2024-05-14,ICZL.CFE,5520.0000000000,5544.2000000000,5473.2000000000,5488.6000000000,3755191.8799999999,34136.0000000000
446,2024-05-15,ICZL.CFE,5479.6000000000,5492.6000000000,5428.0000000000,5443.4000000000,3472377.9040000001,31763.0000000000
445,2024-05-16,ICZL.CFE,5430.0000000000,5445.0000000000,5358.6000000000,5378.4000000000,5185205.5319999997,47928.0000000000
444,2024-05-17,ICZL.CFE,5387.4000000000,5468.2000000000,5370.0000000000,5460.4000000000,6456423.4600000000,59718.0000000000
443,2024-05-20,ICZL.CFE,5472.2000000000,5511.6000000000,5446.6000000000,5474.0000000000,5421989.4040000001,49483.0000000000
442,2024-05-21,ICZL.CFE,5467.0000000000,5474.2000000000,5414.8000000000,5440.6000000000,3973508.3999999999,36500.0000000000
441,2024-05-22,ICZL.CFE,5436.6000000000,5448.0000000000,5410.6000000000,5424.0000000000,3661211.2960000001,33716.0000000000
440,2024-05-23,ICZL.CFE,5410.0000000000,5410.0000000000,5300.4000000000,5326.0000000000,5279894.1679999996,49426.0000000000
439,2024-05-24,ICZL.CFE,5320.0000000000,5368.8000000000,5266.6000000000,5270.4000000000,5151222.8480000002,48421.0000000000
438,2024-05-27,ICZL.CFE,5291.0000000000,5329.8000000000,5238.6000000000,5322.4000000000,4861812.4600000000,46017.0000000000
437,2024-05-28,ICZL.CFE,5312.6000000000,5322.0000000000,5261.2000000000,5280.0000000000,4518590.9239999996,42705.0000000000
436,2024-05-29,ICZL.CFE,5276.0000000000,5337.0000000000,5267.6000000000,5290.0000000000,5080493.1080000000,47891.0000000000
435,2024-05-30,ICZL.CFE,5280.0000000000,5324.8000000000,5260.6000000000,5287.0000000000,4873501.5559999999,46055.0000000000
434,2024-05-31,ICZL.CFE,5315.0000000000,5341.6000000000,5280.2000000000,5282.2000000000,4463293.0520000001,42065.0000000000
433,2024-06-03,ICZL.CFE,5280.2000000000,5295.0000000000,5194.0000000000,5239.8000000000,5594438.8480000002,53319.0000000000
432,2024-06-04,ICZL.CFE,5229.0000000000,5330.0000000000,5218.0000000000,5307.2000000000,5685715.0640000002,53950.0000000000
431,2024-06-05,ICZL.CFE,5300.0000000000,5318.0000000000,5245.6000000000,5247.6000000000,4364911.7039999999,41265.0000000000
430,2024-06-06,ICZL.CFE,5280.0000000000,5285.6000000000,5183.6000000000,5208.2000000000,6478873.7719999999,61802.0000000000
429,2024-06-07,ICZL.CFE,5239.0000000000,5248.6000000000,5149.0000000000,5178.0000000000,5521399.6919999998,53160.0000000000
428,2024-06-11,ICZL.CFE,5154.2000000000,5217.8000000000,5134.2000000000,5198.6000000000,4807786.0120000001,46475.0000000000
427,2024-06-12,ICZL.CFE,5190.0000000000,5228.8000000000,5186.0000000000,5210.0000000000,4103320.3640000001,39378.0000000000
426,2024-06-13,ICZL.CFE,5215.6000000000,5222.8000000000,5162.2000000000,5184.0000000000,4398942.7039999999,42403.0000000000
425,2024-06-14,ICZL.CFE,5175.4000000000,5239.0000000000,5152.0000000000,5211.6000000000,6083474.9960000003,58607.0000000000
424,2024-06-17,ICZL.CFE,5194.0000000000,5220.8000000000,5186.2000000000,5198.2000000000,4589187.9680000003,44082.0000000000
423,2024-06-18,ICZL.CFE,5206.4000000000,5247.8000000000,5201.8000000000,5226.6000000000,5237583.2439999999,50125.0000000000
